"Column(name='location_name', type_code=1043)","Column(name='latitude', type_code=701)","Column(name='longitude', type_code=701)","Column(name='pollutant', type_code=1043)","Column(name='value', type_code=701)","Column(name='unit', type_code=1043)","Column(name='recorded_at', type_code=1114)"
"Byculla, Mumbai - BMC",18.9767,72.838,pm25,6.42,µg/m³,2026-08-27 02:15:00
"Byculla, Mumbai - BMC",18.9767,72.838,pm10,21.16,µg/m³,2026-08-27 02:15:00
"Byculla, Mumbai - BMC",18.9767,72.838,no2,6.55,ppb,2026-08-27 02:15:00
"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,pm10,52.91,µg/m³,2026-08-27 02:30:00
"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,no2,6.09,ppb,2026-08-27 02:30:00
"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,pm25,7.92,µg/m³,2026-08-27 02:30:00
"Kandivali West, Mumbai - BMC",19.215859,72.831718,pm10,17.84,µg/m³,2026-08-27 02:30:00
"Kandivali West, Mumbai - BMC",19.215859,72.831718,pm25,9.91,µg/m³,2026-08-27 02:30:00
"Kandivali West, Mumbai - BMC",19.215859,72.831718,no2,16.01,ppb,2026-08-27 02:30:00
"Sewri, Mumbai - BMC",19.000084,72.85673,pm10,37.99,µg/m³,2026-08-27 01:15:00
"Sewri, Mumbai - BMC",19.000084,72.85673,pm25,13.22,µg/m³,2026-08-27 01:15:00
"Sewri, Mumbai - BMC",19.000084,72.85673,no2,7.34,ppb,2026-08-26 08:30:00
"Ghatkopar, Mumbai - BMC",19.083694,72.920967,pm10,40.84,µg/m³,2026-08-27 02:15:00
"Ghatkopar, Mumbai - BMC",19.083694,72.920967,pm25,13.09,µg/m³,2026-08-27 02:15:00
"Ghatkopar, Mumbai - BMC",19.083694,72.920967,no2,1.71,ppb,2026-08-27 02:15:00
